sample_type,file_name,sample_id,batch,comment,path,instrument_method,process_method,position,inj_vol,new_name
QC,MT_20210726_001,Qstd_20210726_1_001,1,1,D:\IDX_Data\Maheshwor\Proj-201-Li-20210607-ZosterVac_ImmunoMetabolomics\HILICposRPneg\Batch 1,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILICpos120Kres5min,NA,Y:A3,2,raw_batch1_07262021_MT___MT_20210726_001
QC,MT_20210726_003,Qstd_20210726_1_003,1,1,D:\IDX_Data\Maheshwor\Proj-201-Li-20210607-ZosterVac_ImmunoMetabolomics\HILICposRPneg\Batch 1,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILICpos120Kres5min,NA,Y:A3,2,raw_batch1_07262021_MT___MT_20210726_003
QC,MT_20210726_005,Qstd_20210726_1_005,1,1,D:\IDX_Data\Maheshwor\Proj-201-Li-20210607-ZosterVac_ImmunoMetabolomics\HILICposRPneg\Batch 1,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILICpos120Kres5min,NA,Y:A3,2,raw_batch1_07262021_MT___MT_20210726_005
QC,MT_20210726_007,Qstd_20210726_1_007,2,1,D:\IDX_Data\Maheshwor\Proj-201-Li-20210607-ZosterVac_ImmunoMetabolomics\HILICposRPneg\Batch 1,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILICpos120Kres5min,NA,Y:A3,2,raw_batch1_07262021_MT___MT_20210726_007
QC,MT_20210726_009,Qstd_20210726_1_009,2,1,D:\IDX_Data\Maheshwor\Proj-201-Li-20210607-ZosterVac_ImmunoMetabolomics\HILICposRPneg\Batch 1,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILICpos120Kres5min,NA,Y:A3,2,raw_batch1_07262021_MT___MT_20210726_009
QC,MT_20210726_010,Qstd_20210726_1_010,2,1,D:\IDX_Data\Maheshwor\Proj-201-Li-20210607-ZosterVac_ImmunoMetabolomics\HILICposRPneg\Batch 1,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_RPneg120Kres5min,NA,Y:A3,2,raw_batch1_07262021_MT___MT_20210726_010
QC,MT_20210726_013,Qstd_20210726_1_013,3,1,D:\IDX_Data\Maheshwor\Proj-201-Li-20210607-ZosterVac_ImmunoMetabolomics\HILICposRPneg\Batch 1,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILICpos120Kres5min,NA,Y:A3,2,raw_batch1_07262021_MT___MT_20210726_095
QC,MT_20210726_015,Qstd_20210726_1_015,3,1,D:\IDX_Data\Maheshwor\Proj-201-Li-20210607-ZosterVac_ImmunoMetabolomics\HILICposRPneg\Batch 1,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILICpos120Kres5min,NA,Y:A3,2,raw_batch1_07262021_MT___MT_20210726_097
QC,MT_20210726_019,Qstd_20210726_1_019,3,1,D:\IDX_Data\Maheshwor\Proj-201-Li-20210607-ZosterVac_ImmunoMetabolomics\HILICposRPneg\Batch 1,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILICpos120Kres5min,NA,Y:A3,2,raw_batch1_07262021_MT___MT_20210726_193
QC,MT_20210726_011,Qstd_DDA_20210726_1_001,1,1,D:\IDX_Data\Maheshwor\Proj-201-Li-20210607-ZosterVac_ImmunoMetabolomics\HILICposRPneg\Batch 1,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILICpos_5min_DDA,NA,Y:A3,2,raw_batch1_07262021_MT___MT_20210726_011
Blank,Blank_20210726_003,Blank_20210726_1_003,1,1,D:\IDX_Data\Maheshwor\Proj-201-Li-20210607-ZosterVac_ImmunoMetabolomics\HILICposRPneg\Batch 1,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILICpos120Kres5min,NA,Y:A1,2,raw_batch1_07262021_MT___Blank_20210726_003
